prototype_id,num_samples,unique_questions,unique_answers,dominant_answer,dominant_answer_count,dominant_answer_fraction,representative_dataset_index,distance_to_centroid
0,69,68,27,yes,15,0.21739130434782608,248,14.429563
1,89,89,33,yes,21,0.23595505617977527,344,9.571377
2,56,55,18,no,26,0.4642857142857143,220,14.468313
3,46,43,16,no,18,0.391304347826087,319,16.228262
4,44,44,15,no,13,0.29545454545454547,318,14.002207
5,23,23,10,yes,7,0.30434782608695654,326,11.167815
6,97,92,22,no,38,0.3917525773195876,256,13.397087
7,57,57,28,no,15,0.2631578947368421,230,15.580189
8,16,16,9,no,4,0.25,4,6.604514
9,48,47,17,yes,14,0.2916666666666667,161,14.207378
10,68,64,25,no,16,0.23529411764705882,90,12.71441
11,65,64,17,no,25,0.38461538461538464,192,14.2408
12,48,48,18,yes,13,0.2708333333333333,241,15.62901
13,104,101,39,yes,25,0.2403846153846154,668,13.402715
14,83,82,24,yes,31,0.37349397590361444,532,11.972468
15,38,37,20,yes,11,0.2894736842105263,1345,10.69546
16,112,112,36,yes,45,0.4017857142857143,156,9.699807
17,62,62,24,yes,14,0.22580645161290322,252,15.478992
18,17,17,8,yes,5,0.29411764705882354,216,12.488348
19,43,42,12,no,18,0.4186046511627907,53,16.651999
20,71,71,25,yes,23,0.323943661971831,331,9.577378
21,33,33,5,yes,15,0.45454545454545453,160,18.16558
22,43,42,14,no,25,0.5813953488372093,1779,13.412038
23,51,48,13,yes,22,0.43137254901960786,352,9.366418
24,61,61,30,yes,10,0.16393442622950818,293,15.528805
25,66,65,26,no,20,0.30303030303030304,779,18.91105
26,44,41,15,no,15,0.3409090909090909,815,13.836097
27,47,46,15,no,21,0.44680851063829785,360,13.755501
28,56,56,20,yes,18,0.32142857142857145,167,15.37265
29,136,134,37,yes,50,0.36764705882352944,1357,10.321991
